"","split"
"248","test"
"249","test"
"250","test"
"251","train"
"252","test"
"253","train"
"254","test"
"255","train"
"256","test"
"257","test"
"258","train"
"259","test"
"260","train"
"261","train"
"262","train"
"263","train"
"264","test"
"265","train"
"266","test"
"267","train"
"268","test"
"269","train"
"270","train"
"271","train"
"272","train"
"273","train"
"274","train"
"275","train"
"276","test"
"277","test"
"278","train"
"279","train"
"280","test"
"281","train"
"282","train"
"283","test"
"284","train"
"285","train"
"286","train"
"287","test"
"288","train"
"289","train"
"290","test"
"291","train"
"292","train"
"293","test"
"294","train"
"295","train"
"296","test"
"297","train"
"298","train"
"299","train"
"300","train"
"301","test"
"302","test"
"303","test"
"304","train"
"305","train"
"306","train"
"307","train"
"308","test"
"309","train"
"310","train"
"311","train"
"312","train"
"313","train"
"314","test"
"315","train"
"316","train"
"317","train"
"318","train"
"319","test"
"320","test"
"321","train"
"322","train"
"323","test"
"324","train"
"325","test"
"326","train"
"327","train"
"328","train"
"329","train"
"330","test"
"331","test"
"332","train"
"333","train"
"334","train"
"335","train"
"336","train"
"337","test"
"338","train"
"339","train"
"340","test"
"341","train"
"342","test"
"343","test"
"344","test"
"345","train"
"346","train"
"347","train"
"348","train"
"349","test"
"350","train"
"351","train"
"352","train"
"353","test"
"354","train"
"355","train"
"356","train"
"357","train"
"358","train"
"359","train"
"360","test"
"361","train"
"362","train"
"363","train"
"364","train"
"365","train"
"366","train"
"367","train"
"368","train"
"369","train"
"370","train"
"371","train"
"372","test"
"373","train"
"374","train"
"375","test"
"376","test"
"377","train"
"378","test"
"379","test"
"380","train"
"381","train"
"382","train"
"383","train"
"384","test"
"385","test"
"386","test"
"387","test"
"388","train"
"389","train"
"390","test"
"391","test"
"392","train"
"393","train"
"394","train"
"395","train"
"396","train"
"397","test"
"398","train"
"399","train"
"400","train"
"401","train"
"402","train"
"403","train"
"404","test"
"405","train"
"406","test"
"407","train"
"408","train"
"409","train"
"410","test"
"411","train"
"412","train"
"413","test"
"414","train"
"415","test"
"416","train"
"417","test"
"418","test"
"419","train"
"420","train"
"421","train"
"422","train"
"423","test"
"424","train"
"425","train"
"426","train"
"427","test"
"428","train"
"429","train"
"430","train"
"431","train"
"432","train"
"433","train"
"434","train"
"435","train"
"436","train"
"437","train"
"438","train"
"439","train"
"440","train"
"441","test"
"442","test"
"443","train"
"444","train"
"445","train"
"446","train"
"447","train"
"448","test"
"449","train"
"450","train"
"451","train"
"452","test"
"453","test"
"454","train"
"455","train"
"456","train"
"457","train"
"458","train"
"459","train"
"460","train"
"461","train"
"462","test"
"463","test"
"464","train"
"465","train"
"466","train"
"467","train"
"468","train"
"469","train"
"470","train"
"471","test"
"472","train"
"473","train"
"474","train"
"475","test"
"476","train"
"477","train"
"478","train"
"479","test"
"480","test"
"481","train"
"482","test"
"483","train"
"484","train"
"485","test"
"486","train"
"487","train"
"488","test"
"489","test"
"490","train"
"491","test"
"492","train"
"493","test"
"494","test"
"495","test"
"496","test"
"497","train"
"498","train"
"499","test"
"500","train"
"501","train"
"502","train"
"503","train"
"504","test"
"505","test"
"506","test"
"507","test"
"508","test"
"509","test"
"510","train"
"511","train"
"512","train"
"513","test"
"514","test"
"515","train"
"516","train"
"517","train"
"518","train"
"519","test"
"520","test"
"521","train"
"522","train"
"523","test"
"524","train"
"525","train"
"526","train"
"527","test"
"528","train"
"529","test"
"530","train"
"531","test"
"532","train"
"533","train"
"534","train"
"535","train"
"536","test"
"537","train"
"538","train"
"539","train"
"540","train"
"541","train"
"542","train"
"543","train"
"544","train"
"545","train"
"546","train"
"547","train"
"548","train"
"549","train"
"550","train"
"551","test"
"552","train"
"553","train"
"554","test"
"555","test"
"556","train"
"557","train"
"558","test"
"559","train"
"560","train"
"561","test"
"562","test"
"563","train"
"564","test"
"565","train"
"566","train"
"567","train"
"568","train"
"569","train"
"570","test"
"571","train"
"572","train"
"573","train"
"574","train"
"575","test"
"576","train"
"577","test"
"578","train"
"579","train"
"580","train"
"581","test"
"582","train"
"583","train"
"584","test"
"585","train"
"586","train"
"587","train"
"588","train"
"589","train"
"590","train"
"591","test"
"592","train"
"593","test"
"594","train"
"595","test"
"596","train"
"597","test"
"598","test"
"599","train"
"600","train"
"601","test"
"602","train"
"603","test"
"604","train"
"605","train"
"606","test"
"607","test"
"608","train"
"609","train"
"610","train"
"611","train"
"612","train"
"613","test"
"614","train"
"615","train"
"616","train"
"617","train"
"618","train"
"619","train"
"620","train"
"621","train"
"622","train"
"623","train"
"624","train"
"625","train"
"626","test"
"627","train"
"628","test"
"629","train"
"630","test"
"631","train"
"632","train"
"633","test"
"634","train"
"635","train"
"636","train"
"637","test"
"638","test"
"639","test"
"640","test"
"641","train"
"642","test"
"643","train"
"644","train"
"645","test"
"646","train"
"647","train"
"648","test"
"649","test"
"650","test"
"651","train"
"652","train"
"653","test"
"654","test"
"655","train"
"656","train"
"657","test"
"658","train"
"659","train"
"660","train"
"661","test"
"662","train"
"663","train"
"664","train"
"665","train"
"666","test"
"667","test"
"668","train"
"669","test"
"670","train"
"671","test"
"672","test"
"673","train"
"674","train"
"675","test"
"676","train"
"677","train"
"678","train"
"679","train"
"680","train"
"681","train"
"682","train"
"683","train"
"684","train"
"685","train"
"686","train"
"687","test"
"688","test"
"689","train"
"690","train"
"691","train"
"692","train"
"693","train"
"694","train"
"695","train"
"696","test"
"697","test"
"698","train"
"699","train"
"700","train"
"701","train"
"702","train"
"703","train"
"704","train"
"705","test"
"706","test"
"707","train"
"708","test"
"709","test"
"710","train"
"711","train"
"712","test"
"713","train"
"714","train"
"715","test"
"716","train"
"717","train"
"718","train"
"719","test"
"720","train"
"721","train"
"722","test"
"723","test"
"724","test"
"725","train"
"726","test"
"727","train"
"728","train"
"729","train"
"730","train"
"731","train"
"732","train"
"733","test"
"734","train"
"735","train"
"736","train"
"737","test"
"738","train"
"739","train"
"740","test"
"741","train"
"742","train"
"743","train"
"744","train"
"745","train"
"746","train"
"747","train"
"748","test"
"749","train"
"750","train"
"751","train"
"752","train"
"753","train"
"754","train"
"755","train"
"756","train"
"757","train"
"758","train"
"759","train"
"760","train"
"761","test"
"762","train"
"763","train"
"764","train"
"765","train"
"766","train"
"767","test"
"768","test"
"769","train"
"770","train"
"771","train"
"772","train"
"773","train"
"774","train"
"775","train"
"776","train"
"777","test"
"778","train"
"779","train"
"780","train"
"781","train"
"782","train"
"783","train"
"784","train"
"785","train"
"786","train"
"787","train"
"788","test"
"789","train"
"790","train"
"791","train"
"792","train"
"793","train"
"794","train"
"795","train"
"796","test"
"797","train"
"798","test"
"799","train"
"800","test"
"801","train"
"802","train"
"803","train"
"804","train"
"805","test"
"806","test"
"807","test"
"808","train"
"809","test"
"810","train"
"811","train"
"812","test"
"813","train"
"814","test"
"815","train"
"816","train"
"817","train"
"818","train"
"819","train"
"820","train"
"821","train"
"822","train"
"823","train"
"824","train"
"825","train"
"826","test"
"827","train"
"828","test"
"829","train"
"830","test"
"831","test"
"832","test"
"833","train"
"834","train"
"835","test"
"836","train"
"837","test"
"838","train"
"839","train"
"840","train"
"841","train"
"842","train"
"843","test"
"844","train"
"845","train"
"846","train"
"847","test"
"848","train"
"849","train"
"850","train"
"851","train"
"852","train"
"853","test"
"854","train"
"855","test"
"856","test"
"857","train"
"858","train"
"859","test"
"860","train"
"861","train"
"862","train"
"863","train"
"864","test"
"865","test"
"866","test"
"867","train"
"868","train"
"869","test"
"870","test"
"871","train"
"872","train"
"873","test"
"874","train"
"875","test"
"876","test"
"877","train"
"878","train"
"879","test"
"880","train"
"881","train"
"882","test"
"883","train"
"884","train"
"885","test"
"886","train"
"887","train"
"888","train"
"889","test"
"890","train"
"891","train"
"892","train"
"893","train"
"894","train"
"895","test"
"896","test"
"897","train"
"898","train"
"899","test"
"900","train"
"901","test"
"902","test"
"903","train"
"904","train"
"905","test"
"906","train"
"907","train"
"908","train"
"909","train"
"910","train"
"911","train"
"912","test"
"913","train"
"914","train"
"915","test"
"916","train"
"917","train"
"918","train"
"919","train"
"920","test"
"921","train"
"922","test"
"923","test"
"924","test"
"925","train"
"926","train"
"927","train"
"928","train"
"929","train"
"930","train"
"931","test"
"932","test"
"933","test"
"934","train"
"935","train"
"936","train"
"937","train"
"938","train"
"939","test"
"940","train"
"941","train"
"942","train"
"943","train"
"944","train"
"945","train"
"946","train"
"947","test"
"948","train"
"949","train"
"950","test"
"951","train"
"952","train"
"953","train"
"954","train"
"955","test"
"956","train"
"957","train"
"958","train"
"959","train"
"960","test"
"961","train"
"962","test"
"963","test"
"964","test"
"965","test"
"966","train"
"967","train"
"968","train"
"969","train"
"970","test"
"971","train"
"972","train"
"973","train"
"974","train"
"975","train"
"976","train"
"977","train"
"978","train"
"979","train"
"980","train"
"981","train"
"982","train"
"983","test"
"984","test"
"985","train"
"986","train"
"987","train"
"988","train"
"989","train"
"990","train"
"991","test"
"992","train"
"993","train"
"994","test"
"995","train"
"996","train"
"997","train"
"998","test"
"999","train"
"1000","train"
"1001","test"
"1002","train"
"1003","train"
"1004","train"
"1005","train"
"1006","test"
"1007","train"
"1008","test"
"1009","train"
"1010","train"
"1011","test"
"1012","test"
"1013","test"
"1014","train"
"1015","train"
"1016","train"
"1017","train"
"1018","test"
"1019","test"
"1020","test"
"1021","train"
"1022","train"
"1023","test"
"1024","test"
"1025","train"
"1026","train"
"1027","test"
"1028","test"
"1029","test"
"1030","train"
"1031","test"
"1032","train"
"1033","train"
"1034","train"
"1035","test"
"1036","test"
"1037","train"
"1038","train"
"1039","test"
"1040","train"
"1041","train"
"1042","train"
"1043","train"
"1044","train"
"1045","train"
"1046","test"
"1047","train"
"1048","train"
"1049","test"
"1050","train"
"1051","test"
"1052","train"
"1053","train"
"1054","test"
"1055","train"
"1056","train"
"1057","train"
"1058","train"
"1059","train"
"1060","train"
"1061","test"
"1062","train"
"1063","train"
"1064","test"
"1065","test"
"1066","test"
"1067","train"
"1068","train"
"1069","train"
"1070","train"
"1071","test"
"1072","train"
"1073","train"
"1074","train"
"1075","train"
"1076","train"
"1077","train"
"1078","train"
"1079","test"
"1080","train"
"1081","test"
"1082","train"
"1083","train"
"1084","train"
"1085","train"
"1086","test"
"1087","test"
"1088","train"
"1089","test"
"1090","train"
"1091","train"
"1092","train"
"1093","train"
"1094","test"
"1095","test"
"1096","test"
"1097","train"
"1098","train"
"1099","test"
"1100","train"
"1101","train"
"1102","train"
"1103","train"
"1104","test"
"1105","train"
"1106","train"
"1107","test"
"1108","train"
"1109","test"
"1110","train"
"1111","test"
"1112","train"
"1113","train"
"1114","train"
"1115","test"
"1116","train"
"1117","train"
"1118","train"
"1119","train"
"1120","train"
"1121","train"
"1122","test"
"1123","train"
"1124","train"
"1125","test"
"1126","train"
"1127","train"
"1128","test"
"1129","train"
"1130","train"
"1131","train"
"1132","train"
"1133","test"
"1134","train"
"1135","train"
"1136","train"
"1137","train"
"1138","train"
"1139","train"
"1140","train"
"1141","train"
"1142","train"
"1143","train"
"1144","test"
"1145","train"
"1146","test"
"1147","train"
"1148","train"
"1149","train"
"1150","test"
"1151","test"
"1152","train"
"1153","train"
"1154","train"
"1155","train"
"1156","test"
"1157","train"
"1158","test"
"1159","train"
"1160","train"
"1161","train"
"1162","train"
"1163","train"
"1164","test"
"1165","train"
"1166","train"
"1167","test"
"1168","train"
"1169","train"
"1170","test"
"1171","train"
"1172","train"
"1173","train"
"1174","train"
"1175","train"
"1176","train"
"1177","train"
"1178","train"
"1179","train"
"1180","train"
"1181","train"
"1182","train"
"1183","train"
"1184","train"
"1185","train"
"1186","train"
"1187","train"
"1188","train"
"1189","train"
"1190","train"
"1191","test"
"1192","train"
"1193","test"
"1194","train"
"1195","train"
"1196","test"
"1197","train"
"1198","test"
"1199","test"
"1200","train"
"1201","train"
"1202","test"
"1203","test"
"1204","test"
"1205","train"
"1206","train"
"1207","test"
"1208","train"
"1209","train"
"1210","train"
"1211","train"
"1212","train"
"1213","test"
"1214","train"
"1215","test"
"1216","train"
"1217","test"
"1218","train"
"1219","train"
"1220","train"
"1221","train"
"1222","test"
"1223","train"
"1224","train"
"1225","test"
"1226","train"
"1227","train"
"1228","train"
"1229","train"
"1230","train"
"1231","train"
"1232","test"
"1233","train"
"1234","train"
"1235","train"
"1236","train"
"1237","train"
"1238","train"
"1239","train"
"1240","train"
"1241","test"
"1242","train"
"1243","train"
"1244","test"
"1245","test"
"1246","train"
"1247","train"
"1248","train"
"1249","train"
"1250","test"
"1251","test"
"1252","test"
"1253","train"
"1254","test"
"1255","train"
"1256","train"
"1257","test"
"1258","train"
"1259","test"
"1260","test"
"1261","train"
"1262","train"
"1263","train"
"1264","test"
"1265","train"
"1266","train"
"1267","train"
"1268","train"
"1269","test"
"1270","train"
"1271","train"
"1272","train"
"1273","test"
"1274","test"
"1275","train"
"1276","test"
"1277","test"
"1278","train"
"1279","train"
"1280","test"
"1281","train"
"1282","train"
"1283","train"
"1284","train"
"1285","train"
"1286","train"
"1287","test"
"1288","train"
"1289","train"
"1290","train"
"1291","train"
"1292","train"
"1293","test"
"1294","train"
"1295","train"
"1296","test"
"1297","train"
"1298","train"
"1299","train"
"1300","test"
"1301","train"
"1302","train"
"1303","train"
"1304","test"
"1305","train"
"1306","train"
"1307","train"
"1308","train"
"1309","train"
"1310","test"
"1311","test"
"1312","train"
"1313","train"
"1314","train"
"1315","train"
"1316","train"
"1317","train"
"1318","test"
"1319","test"
"1320","train"
"1321","train"
"1322","test"
"1323","train"
"1324","test"
"1325","train"
"1326","train"
"1327","train"
"1328","train"
"1329","train"
"1330","train"
"1331","train"
"1332","test"
"1333","train"
"1334","train"
"1335","train"
"1336","train"
"1337","test"
"1338","train"
"1339","train"
"1340","train"
"1341","train"
"1342","train"
"1343","test"
"1344","train"
"1345","train"
"1346","train"
"1347","train"
"1348","train"
"1349","test"
"1350","train"
"1351","train"
"1352","test"
"1353","test"
"1354","test"
"1355","train"
"1356","train"
"1357","train"
"1358","train"
"1359","train"
"1360","train"
"1361","train"
"1362","train"
"1363","train"
"1364","train"
"1365","test"
"1366","test"
"1367","train"
"1368","train"
"1369","train"
"1370","train"
"1371","train"
"1372","test"
"1373","train"
"1374","train"
"1375","train"
"1376","train"
"1377","test"
"1378","test"
"1379","train"
"1380","train"
"1381","train"
"1382","train"
"1383","train"
"1384","test"
"1385","test"
"1386","test"
"1387","test"
"1388","test"
"1389","test"
"1390","train"
"1391","train"
"1392","test"
"1393","train"
"1394","test"
"1395","train"
"1396","test"
"1397","test"
"1398","test"
"1399","train"
"1400","train"
"1401","train"
"1402","test"
"1403","train"
"1404","train"
"1405","train"
"1406","test"
"1407","train"
"1408","test"
"1409","train"
"1410","train"
"1411","train"
"1412","test"
"1413","train"
"1414","train"
"1415","train"
"1416","train"
"1417","train"
"1418","train"
"1419","train"
"1420","train"
"1421","train"
"1422","train"
"1423","train"
"1424","train"
"1425","train"
"1426","train"
"1427","train"
"1428","train"
"1429","train"
"1430","train"
"1431","test"
"1432","train"
"1433","train"
"1434","train"
"1435","test"
"1436","train"
"1437","train"
"1438","train"
"1439","train"
"1440","train"
"1441","train"
"1442","test"
"1443","train"
"1444","train"
"1445","test"
"1446","train"
"1447","train"
"1448","train"
"1449","train"
"1450","train"
"1451","train"
"1452","train"
"1453","test"
"1454","train"
"1455","train"
"1456","test"
"1457","train"
"1458","train"
"1459","train"
"1460","train"
"1461","train"
"1462","train"
"1463","train"
"1464","train"
"1465","train"
"1466","train"
"1467","train"
"1468","test"
"1469","train"
"1470","test"
"1471","train"
"1472","test"
"1473","test"
"1474","train"
"1475","test"
"1476","train"
"1477","test"
"1478","train"
"1479","train"
"1480","train"
"1481","test"
"1482","train"
"1483","train"
"1484","train"
"1485","train"
"1486","train"
"1487","test"
"1488","train"
"1489","train"
"1490","train"
"1491","test"
"1492","test"
"1493","train"
"1494","train"
"1495","test"
"1496","train"
"1497","test"
"1498","train"
"1499","train"
"1500","test"
"1501","train"
"1502","train"
"1503","test"
"1504","test"
"1505","train"
"1506","train"
"1507","train"
"1508","test"
"1509","test"
"1510","train"
"1511","test"
"1512","train"
"1513","train"
"1514","test"
"1515","train"
"1516","test"
"1517","train"
"1518","train"
"1519","train"
"1520","test"
"1521","test"
"1522","test"
"1523","test"
"1524","test"
"1525","test"
"1526","train"
"1527","train"
"1528","train"
"1529","train"
"1530","test"
"1531","train"
"1532","train"
"1533","test"
"1534","test"
"1535","test"
"1536","test"
"1537","train"
"1538","train"
"1539","train"
"1540","test"
"1541","test"
"1542","train"
"1543","train"
"1544","train"
"1545","test"
"1546","test"
"1547","train"
"1548","test"
"1549","train"
"1550","train"
"1551","train"
"1552","train"
"1553","train"
"1554","train"
"1555","train"
"1556","train"
"1557","train"
"1558","test"
"1559","train"
"1560","train"
"1561","train"
"1562","train"
"1563","train"
"1564","train"
"1565","train"
"1566","train"
"1567","test"
"1568","train"
"1569","test"
"1570","train"
"1571","train"
"1572","train"
"1573","train"
"1574","train"
"1575","train"
"1576","train"
"1577","train"
"1578","train"
"1579","train"
"1580","train"
"1581","train"
"1582","train"
"1583","train"
"1584","test"
"1585","train"
"1586","train"
"1587","train"
"1588","test"
"1589","train"
"1590","train"
"1591","train"
"1592","test"
"1593","train"
"1594","test"
"1595","train"
"1596","train"
"1597","train"
"1598","train"
"1599","test"
"1600","test"
"1601","train"
"1602","test"
"1603","train"
"1604","train"
"1605","train"
"1606","train"
"1607","train"
"1608","test"
"1609","test"
"1610","test"
"1611","train"
"1612","train"
"1613","train"
"1614","train"
"1615","test"
"1616","train"
"1617","test"
"1618","train"
"1619","train"
"1620","train"
"1621","test"
"1622","train"
"1623","test"
"1624","train"
"1625","test"
"1626","test"
"1627","train"
"1628","train"
"1629","train"
"1630","test"
"1631","train"
"1632","test"
"1633","train"
"1634","test"
"1635","train"
"1636","train"
"1637","train"
"1638","train"
"1639","train"
"1640","train"
"1641","test"
"1642","train"
"1643","train"
"1644","train"
"1645","train"
"1646","test"
"1647","train"
"1648","test"
"1649","train"
"1650","train"
"1651","train"
"1652","test"
"1653","train"
"1654","train"
"1655","test"
"1656","test"
"1657","test"
"1658","test"
"1659","train"
"1660","train"
"1661","train"
"1662","train"
"1663","train"
"1664","train"
"1665","test"
"1666","train"
"1667","train"
"1668","train"
"1669","train"
"1670","train"
"1671","train"
"1672","train"
"1673","test"
"1674","train"
"1675","train"
"1676","train"
"1677","train"
"1678","train"
"1679","train"
"1680","test"
"1681","train"
"1682","test"
"1683","train"
"1684","train"
"1685","train"
"1686","train"
"1687","train"
"1688","train"
"1689","test"
"1690","test"
"1691","train"
"1692","train"
"1693","train"
"1694","train"
"1695","train"
"1696","train"
"1697","train"
"1698","test"
"1699","train"
"1700","train"
"1701","train"
"1702","train"
"1703","train"
"1704","test"
"1705","test"
"1706","train"
"1707","train"
"1708","train"
"1709","train"
"1710","test"
"1711","train"
"1712","train"
"1713","test"
"1714","train"
"1715","train"
"1716","train"
"1717","train"
"1718","train"
"1719","train"
"1720","train"
"1721","test"
"1722","test"
"1723","test"
"1724","train"
"1725","train"
"1726","test"
"1727","train"
"1728","test"
"1729","train"
"1730","train"
"1731","train"
"1732","train"
"1733","train"
"1734","test"
"1735","train"
"1736","test"
"1737","train"
"1738","train"
"1739","train"
"1740","train"
"1741","train"
"1742","train"
"1743","train"
"1744","test"
"1745","train"
"1746","test"
"1747","train"
"1748","test"
"1749","train"
"1750","train"
"1751","train"
"1752","train"
"1753","test"
"1754","train"
"1755","train"
"1756","test"
"1757","test"
"1758","train"
"1759","train"
"1760","train"
"1761","test"
"1762","test"
"1763","test"
"1764","train"
"1765","train"
"1766","train"
"1767","test"
"1768","train"
"1769","test"
"1770","train"
"1771","test"
"1772","test"
"1773","train"
"1774","train"
"1775","test"
"1776","train"
"1777","test"
"1778","train"
"1779","train"
"1780","train"
"1781","train"
"1782","train"
"1783","train"
"1784","train"
"1785","test"
"1786","train"
"1787","test"
"1788","test"
"1789","train"
"1790","train"
"1791","test"
"1792","test"
"1793","test"
"1794","test"
"1795","train"
"1796","train"
"1797","train"
"1798","train"
"1799","test"
"1800","test"
"1801","train"
"1802","train"
"1803","train"
"1804","test"
"1805","test"
"1806","train"
"1807","train"
"1808","train"
"1809","test"
"1810","test"
"1811","train"
"1812","train"
"1813","test"
"1814","train"
"1815","train"
"1816","train"
"1817","train"
"1818","test"
"1819","test"
"1820","test"
"1821","train"
"1822","test"
"1823","train"
"1824","train"
"1825","test"
"1826","train"
"1827","train"
"1828","test"
"1829","test"
"1830","test"
"1831","test"
"1832","test"
"1833","train"
"1834","train"
"1835","test"
"1836","train"
"1837","train"
"1838","train"
"1839","test"
"1840","test"
"1841","train"
"1842","train"
"1843","train"
"1844","train"
"1845","train"
"1846","train"
"1847","train"
"1848","train"
"1849","train"
"1850","train"
"1851","train"
"1852","train"
"1853","test"
"1854","test"
"1855","train"
"1856","train"
"1857","train"
"1858","test"
"1859","test"
"1860","train"
"1861","train"
"1862","train"
"1863","test"
"1864","train"
"1865","train"
"1866","train"
"1867","train"
"1868","train"
"1869","train"
"1870","train"
"1871","test"
"1872","train"
"1873","test"
"1874","train"
"1875","train"
"1876","train"
"1877","test"
"1878","test"
"1879","train"
"1880","test"
"1881","train"
"1882","test"
"1883","test"
"1884","test"
"1885","test"
"1886","test"
"1887","test"
"1888","train"
"1889","test"
"1890","train"
"1891","train"
"1892","train"
"1893","train"
"1894","train"
"1895","test"
"1896","train"
"1897","train"
"1898","train"
"1899","test"
"1900","train"
"1901","test"
"1902","train"
"1903","train"
"1904","test"
"1905","train"
"1906","test"
"1907","test"
"1908","train"
"1909","train"
"1910","train"
"1911","train"
"1912","train"
"1913","train"
"1914","test"
"1915","train"
"1916","test"
"1917","train"
"1918","test"
"1919","train"
"1920","train"
"1921","test"
"1922","train"
"1923","train"
"1924","train"
"1925","train"
"1926","train"
"1927","train"
"1928","train"
"1929","test"
"1930","train"
"1931","test"
"1932","train"
"1933","train"
"1934","test"
"1935","train"
"1936","train"
"1937","train"
"1938","train"
"1939","test"
"1940","train"
"1941","train"
"1942","train"
"1943","train"
"1944","test"
"1945","test"
"1946","train"
"1947","train"
"1948","train"
"1949","test"
"1950","test"
"1951","train"
"1952","train"
"1953","test"
"1954","train"
"1955","train"
"1956","train"
"1957","train"
"1958","train"
"1959","train"
"1960","train"
"1961","train"
"1962","test"
"1963","train"
"1964","test"
"1965","test"
"1966","train"
"1967","train"
"1968","train"
"1969","train"
"1970","train"
"1971","test"
"1972","train"
"1973","train"
"1974","train"
"1975","train"
"1976","train"
"1977","train"
"1978","test"
"1979","train"
"1980","test"
"1981","train"
"1982","train"
"1983","test"
"1984","train"
"1985","train"
"1986","train"
"1987","test"
"1988","train"
"1989","train"
"1990","test"
"1991","train"
"1992","train"
"1993","train"
"1994","train"
"1995","train"
"1996","train"
"1997","train"
"1998","train"
"1999","train"
"2000","test"
"2001","train"
"2002","train"
"2003","test"
"2004","train"
"2005","train"
"2006","train"
"2007","train"
"2008","test"
"2009","train"
"2010","train"
"2011","train"
"2012","test"
"2013","train"
"2014","train"
"2015","train"
"2016","train"
"2017","test"
"2018","train"
"2019","train"
"2020","test"
"2021","train"
"2022","train"
"2023","train"
"2024","train"
"2025","train"
"2026","train"
"2027","test"
"2028","train"
"2029","train"
"2030","train"
"2031","test"
"2032","train"
"2033","train"
"2034","test"
"2035","train"
"2036","train"
"2037","test"
"2038","train"
"2039","train"
"2040","test"
"2041","test"
"2042","train"
"2043","test"
"2044","train"
"2045","train"
"2046","train"
"2047","test"
"2048","test"
"2049","train"
"2050","test"
"2051","train"
"2052","train"
"2053","train"
"2054","train"
"2055","train"
"2056","train"
"2057","train"
"2058","test"
"2059","train"
"2060","train"
"2061","train"
"2062","train"
"2063","train"
"2064","train"
"2065","train"
"2066","train"
"2067","test"
"2068","train"
"2069","train"
"2070","train"
"2071","train"
"2072","train"
"2073","train"
"2074","train"
"2075","train"
"2076","train"
"2077","test"
"2078","train"
"2079","train"
"2080","train"
"2081","train"
"2082","train"
"2083","test"
"2084","test"
"2085","test"
"2086","train"
"2087","train"
"2088","test"
"2089","train"
"2090","train"
"2091","train"
"2092","test"
"2093","train"
"2094","train"
"2095","train"
"2096","train"
"2097","train"
"2098","train"
"2099","train"
"2100","train"
"2101","test"
"2102","train"
"2103","test"
"2104","test"
"2105","test"
"2106","test"
"2107","train"
"2108","train"
"2109","train"
"2110","train"
"2111","train"
"2112","test"
"2113","train"
"2114","train"
"2115","train"
"2116","train"
"2117","test"
"2118","test"
"2119","train"
"2120","train"
"2121","train"
"2122","test"
"2123","test"
"2124","test"
"2125","train"
"2126","train"
"2127","train"
"2128","train"
"2129","test"
"2130","train"
"2131","test"
"2132","train"
"2133","train"
"2134","train"
"2135","train"
"2136","test"
"2137","test"
"2138","test"
"2139","train"
"2140","train"
"2141","train"
