"","split"
"184","test"
"185","train"
"186","train"
"187","test"
"188","train"
"189","test"
"190","train"
"191","train"
"192","train"
"193","train"
"194","train"
"195","test"
"196","test"
"197","train"
"198","test"
"199","train"
"200","train"
"201","train"
"202","test"
"203","train"
"204","train"
"205","train"
"206","train"
"207","train"
"208","test"
"209","train"
"210","train"
"211","test"
"212","train"
"213","train"
"214","train"
"215","train"
"216","train"
"217","test"
"218","train"
"219","train"
"220","train"
"221","train"
"222","train"
"223","train"
"224","train"
"225","train"
"226","train"
"227","train"
"228","test"
"229","train"
"230","train"
"231","train"
"232","train"
"233","test"
"234","train"
"235","test"
"236","train"
"237","test"
"238","train"
"239","train"
"240","train"
"241","train"
"242","train"
"243","test"
"244","train"
"245","test"
"246","train"
"247","train"
"248","train"
"249","train"
"250","test"
"251","train"
"252","train"
"253","test"
"254","train"
"255","train"
"256","test"
"257","test"
"258","train"
"259","train"
"260","train"
"261","test"
"262","train"
"263","train"
"264","test"
"265","train"
"266","train"
"267","train"
"268","train"
"269","train"
"270","train"
"271","train"
"272","test"
"273","train"
"274","train"
"275","test"
"276","train"
"277","train"
"278","train"
"279","test"
"280","train"
"281","train"
"282","train"
"283","test"
"284","train"
"285","train"
"286","test"
"287","test"
"288","train"
"289","test"
"290","train"
"291","test"
"292","train"
"293","test"
"294","test"
"295","train"
"296","train"
"297","test"
"298","train"
"299","train"
"300","train"
"301","train"
"302","train"
"303","train"
"304","train"
"305","train"
"306","test"
"307","test"
"308","test"
"309","test"
"310","train"
"311","train"
"312","train"
"313","train"
"314","train"
"315","train"
"316","train"
"317","train"
"318","test"
"319","train"
"320","train"
"321","train"
"322","train"
"323","train"
"324","test"
"325","train"
"326","train"
"327","train"
"328","train"
"329","train"
"330","test"
"331","train"
"332","train"
"333","train"
"334","train"
"335","test"
"336","train"
"337","train"
"338","train"
"339","train"
"340","test"
"341","test"
"342","train"
"343","train"
"344","train"
"345","train"
"346","train"
"347","train"
"348","train"
"349","train"
"350","train"
"351","test"
"352","test"
"353","train"
"354","train"
"355","train"
"356","train"
"357","test"
"358","test"
"359","train"
"360","train"
"361","train"
"362","train"
"363","test"
"364","test"
"365","train"
"366","train"
"367","train"
"368","test"
"369","test"
"370","train"
"371","train"
"372","train"
"373","train"
"374","test"
"375","train"
"376","train"
"377","train"
"378","train"
"379","test"
"380","train"
"381","train"
"382","train"
"383","test"
"384","train"
"385","train"
"386","train"
"387","test"
"388","test"
"389","test"
"390","train"
"391","test"
"392","test"
"393","test"
"394","test"
"395","train"
"396","train"
"397","train"
"398","test"
"399","test"
"400","train"
"401","train"
"402","test"
"403","train"
"404","train"
"405","train"
"406","train"
"407","train"
"408","test"
"409","train"
"410","train"
"411","train"
"412","train"
"413","train"
"414","train"
"415","test"
"416","train"
"417","test"
"418","test"
"419","train"
"420","train"
"421","train"
"422","test"
"423","train"
"424","train"
"425","train"
"426","train"
"427","train"
"428","train"
"429","train"
"430","test"
"431","train"
"432","train"
"433","train"
"434","train"
"435","test"
"436","test"
"437","train"
"438","test"
"439","train"
"440","test"
"441","test"
"442","train"
"443","train"
"444","train"
"445","train"
"446","train"
"447","train"
"448","train"
"449","train"
"450","train"
"451","test"
"452","test"
"453","train"
"454","test"
"455","train"
"456","train"
"457","train"
"458","test"
"459","test"
"460","train"
"461","train"
"462","train"
"463","train"
"464","test"
"465","train"
"466","train"
"467","train"
"468","train"
"469","train"
"470","train"
"471","test"
"472","train"
"473","train"
"474","train"
"475","train"
"476","train"
"477","train"
"478","train"
"479","train"
"480","train"
"481","train"
"482","train"
"483","train"
"484","train"
"485","train"
"486","test"
"487","test"
"488","train"
"489","test"
"490","test"
"491","train"
"492","train"
"493","train"
"494","train"
"495","train"
"496","train"
"497","test"
"498","train"
"499","test"
"500","train"
"501","train"
"502","test"
"503","train"
"504","train"
"505","test"
"506","test"
"507","train"
"508","train"
"509","train"
"510","train"
"511","train"
"512","train"
"513","train"
"514","train"
"515","train"
"516","train"
"517","train"
"518","test"
"519","train"
"520","train"
"521","test"
"522","train"
"523","test"
"524","train"
"525","test"
"526","test"
"527","train"
"528","train"
"529","train"
"530","train"
"531","train"
"532","train"
"533","train"
"534","train"
"535","train"
"536","test"
"537","test"
"538","train"
"539","train"
"540","train"
"541","train"
"542","train"
"543","test"
"544","test"
"545","train"
"546","train"
"547","train"
"548","train"
"549","test"
"550","test"
"551","train"
"552","train"
"553","train"
"554","train"
"555","test"
"556","train"
"557","train"
"558","train"
"559","train"
"560","train"
"561","test"
"562","test"
"563","test"
"564","train"
"565","test"
"566","test"
"567","test"
"568","train"
"569","train"
"570","train"
"571","train"
"572","train"
"573","test"
"574","train"
"575","train"
"576","test"
"577","train"
"578","train"
"579","train"
"580","train"
"581","train"
"582","train"
"583","test"
"584","train"
"585","train"
"586","test"
"587","train"
"588","train"
"589","train"
"590","test"
"591","train"
"592","train"
"593","train"
"594","train"
"595","test"
"596","test"
"597","train"
"598","train"
"599","train"
"600","train"
"601","train"
"602","train"
"603","train"
"604","test"
"605","train"
"606","train"
"607","train"
"608","train"
"609","test"
"610","train"
"611","train"
"612","train"
"613","train"
"614","train"
"615","train"
"616","train"
"617","train"
"618","train"
"619","train"
"620","train"
"621","test"
"622","test"
"623","train"
"624","train"
"625","train"
"626","train"
"627","train"
"628","train"
"629","train"
"630","test"
"631","train"
"632","train"
"633","train"
"634","train"
"635","train"
"636","train"
"637","train"
"638","test"
"639","train"
"640","train"
"641","train"
"642","test"
"643","train"
"644","train"
"645","train"
"646","train"
"647","test"
"648","train"
"649","train"
"650","train"
"651","test"
"652","train"
"653","train"
"654","test"
"655","train"
"656","test"
"657","train"
"658","train"
"659","train"
"660","train"
"661","test"
"662","train"
"663","train"
"664","test"
"665","train"
"666","test"
"667","train"
"668","train"
"669","train"
"670","test"
"671","train"
"672","train"
"673","train"
"674","train"
"675","test"
"676","test"
"677","test"
"678","test"
"679","train"
"680","test"
"681","train"
"682","train"
"683","train"
"684","train"
"685","train"
"686","train"
"687","test"
"688","train"
"689","train"
"690","test"
"691","train"
"692","test"
"693","train"
"694","train"
"695","test"
"696","train"
"697","test"
"698","test"
"699","train"
"700","train"
"701","train"
"702","train"
"703","train"
"704","test"
"705","train"
"706","train"
"707","test"
"708","train"
"709","test"
"710","test"
"711","train"
"712","train"
"713","train"
"714","train"
"715","train"
"716","test"
"717","train"
"718","train"
"719","train"
"720","test"
"721","train"
"722","train"
"723","train"
"724","train"
"725","train"
"726","train"
"727","train"
"728","train"
"729","train"
"730","test"
"731","train"
"732","test"
"733","test"
"734","train"
"735","train"
"736","train"
"737","train"
"738","train"
"739","train"
"740","train"
"741","train"
"742","train"
"743","train"
"744","test"
"745","train"
"746","test"
"747","train"
"748","train"
"749","train"
"750","train"
"751","test"
"752","train"
"753","test"
"754","train"
"755","train"
"756","train"
"757","test"
"758","test"
"759","test"
"760","train"
"761","test"
"762","train"
"763","test"
"764","train"
"765","train"
"766","train"
"767","test"
"768","train"
"769","test"
"770","train"
"771","train"
"772","train"
"773","train"
"774","train"
"775","train"
"776","train"
"777","test"
"778","train"
"779","train"
"780","train"
"781","test"
"782","test"
"783","train"
"784","train"
"785","train"
"786","train"
"787","test"
"788","train"
"789","train"
"790","train"
"791","train"
"792","train"
"793","train"
"794","test"
"795","train"
"796","train"
"797","train"
"798","test"
"799","train"
"800","train"
"801","test"
"802","train"
"803","train"
"804","train"
"805","train"
"806","test"
"807","train"
"808","train"
"809","train"
"810","test"
"811","test"
"812","train"
"813","train"
"814","train"
"815","train"
"816","train"
"817","train"
"818","test"
"819","test"
"820","train"
"821","test"
"822","test"
"823","test"
"824","test"
"825","train"
"826","test"
"827","train"
"828","train"
"829","train"
"830","test"
"831","train"
"832","train"
"833","train"
"834","train"
"835","train"
"836","train"
"837","train"
"838","train"
"839","train"
"840","train"
"841","train"
"842","test"
"843","train"
"844","train"
"845","train"
"846","train"
"847","train"
"848","train"
"849","train"
"850","train"
"851","test"
"852","train"
"853","train"
"854","train"
"855","train"
"856","train"
"857","train"
"858","train"
"859","train"
"860","train"
"861","test"
"862","train"
"863","test"
"864","train"
"865","train"
"866","train"
"867","train"
"868","train"
"869","train"
"870","train"
"871","train"
"872","train"
"873","train"
"874","test"
"875","test"
"876","test"
"877","train"
"878","test"
"879","train"
"880","train"
"881","train"
"882","train"
"883","train"
"884","train"
"885","train"
"886","train"
"887","test"
"888","test"
"889","train"
"890","test"
"891","train"
"892","train"
"893","train"
"894","train"
"895","train"
"896","train"
"897","train"
"898","test"
"899","train"
"900","train"
"901","train"
"902","train"
"903","train"
"904","train"
"905","train"
"906","train"
"907","train"
"908","train"
"909","test"
"910","test"
"911","train"
"912","train"
"913","test"
"914","train"
"915","test"
"916","train"
"917","test"
"918","train"
"919","test"
"920","train"
"921","test"
"922","train"
"923","train"
"924","test"
"925","train"
"926","train"
"927","train"
"928","train"
"929","train"
"930","train"
"931","train"
"932","train"
"933","train"
"934","train"
"935","test"
"936","test"
"937","train"
"938","train"
"939","train"
"940","train"
"941","test"
"942","test"
"943","train"
"944","train"
"945","train"
"946","train"
"947","train"
"948","test"
"949","train"
"950","test"
"951","train"
"952","test"
"953","train"
"954","train"
"955","train"
"956","train"
"957","train"
"958","test"
"959","train"
"960","test"
"961","train"
"962","train"
"963","test"
"964","test"
"965","train"
"966","train"
"967","train"
"968","train"
"969","test"
"970","train"
"971","train"
"972","test"
"973","test"
"974","test"
"975","train"
"976","test"
"977","train"
"978","train"
"979","train"
"980","test"
"981","test"
"982","train"
"983","test"
"984","train"
"985","train"
"986","test"
"987","train"
"988","train"
"989","train"
"990","train"
"991","train"
"992","train"
"993","train"
"994","train"
"995","test"
"996","test"
"997","train"
"998","train"
"999","test"
"1000","test"
"1001","test"
"1002","train"
"1003","test"
"1004","train"
"1005","train"
"1006","test"
"1007","train"
"1008","train"
"1009","test"
"1010","train"
"1011","train"
"1012","test"
"1013","train"
"1014","train"
"1015","train"
"1016","test"
"1017","train"
"1018","train"
"1019","train"
"1020","test"
"1021","test"
"1022","train"
"1023","test"
"1024","train"
"1025","test"
"1026","train"
"1027","train"
"1028","test"
"1029","train"
"1030","train"
"1031","train"
"1032","train"
"1033","train"
"1034","train"
"1035","train"
"1036","train"
"1037","train"
"1038","train"
"1039","train"
"1040","test"
"1041","train"
"1042","test"
"1043","test"
"1044","train"
"1045","train"
"1046","test"
"1047","train"
"1048","train"
"1049","train"
"1050","test"
"1051","train"
"1052","train"
"1053","train"
"1054","train"
"1055","train"
"1056","train"
"1057","test"
"1058","train"
"1059","train"
"1060","train"
"1061","train"
"1062","train"
"1063","test"
"1064","train"
"1065","test"
"1066","test"
"1067","train"
"1068","train"
"1069","test"
"1070","test"
"1071","train"
"1072","train"
"1073","train"
"1074","train"
"1075","train"
"1076","train"
"1077","test"
"1078","train"
"1079","train"
"1080","test"
"1081","train"
"1082","train"
"1083","test"
"1084","test"
"1085","test"
"1086","test"
"1087","train"
"1088","train"
"1089","test"
"1090","test"
"1091","train"
"1092","train"
"1093","test"
"1094","test"
"1095","test"
"1096","train"
"1097","train"
"1098","test"
"1099","train"
"1100","test"
"1101","train"
"1102","train"
"1103","train"
"1104","train"
"1105","train"
"1106","train"
"1107","train"
"1108","train"
"1109","train"
"1110","train"
"1111","train"
"1112","test"
"1113","train"
"1114","train"
"1115","test"
"1116","test"
"1117","test"
"1118","train"
"1119","train"
"1120","train"
"1121","train"
"1122","test"
"1123","test"
"1124","train"
"1125","train"
"1126","train"
"1127","train"
"1128","train"
"1129","test"
"1130","train"
"1131","train"
"1132","train"
"1133","train"
"1134","test"
"1135","train"
"1136","train"
"1137","train"
"1138","train"
"1139","train"
"1140","train"
"1141","train"
"1142","test"
"1143","test"
"1144","test"
"1145","train"
"1146","train"
"1147","test"
"1148","train"
"1149","test"
"1150","train"
"1151","train"
"1152","test"
"1153","train"
"1154","train"
"1155","test"
"1156","test"
"1157","train"
"1158","train"
"1159","train"
"1160","test"
"1161","train"
"1162","train"
"1163","train"
"1164","train"
"1165","train"
"1166","train"
"1167","train"
"1168","test"
"1169","train"
"1170","test"
"1171","train"
"1172","train"
"1173","train"
"1174","test"
"1175","train"
"1176","train"
"1177","test"
"1178","test"
"1179","train"
"1180","train"
"1181","test"
"1182","train"
"1183","train"
"1184","train"
"1185","train"
"1186","train"
"1187","train"
"1188","train"
"1189","test"
"1190","train"
"1191","train"
"1192","test"
"1193","train"
"1194","train"
"1195","train"
"1196","train"
"1197","train"
"1198","test"
"1199","test"
"1200","test"
"1201","train"
"1202","train"
"1203","test"
"1204","test"
"1205","test"
"1206","train"
"1207","train"
"1208","train"
"1209","train"
"1210","train"
"1211","test"
"1212","train"
"1213","train"
"1214","train"
"1215","train"
"1216","train"
"1217","test"
"1218","train"
"1219","train"
"1220","train"
"1221","train"
"1222","train"
"1223","test"
"1224","train"
"1225","train"
"1226","train"
"1227","train"
"1228","train"
"1229","train"
"1230","train"
"1231","test"
"1232","train"
"1233","test"
"1234","train"
"1235","train"
"1236","train"
"1237","test"
"1238","train"
"1239","train"
"1240","train"
"1241","train"
"1242","train"
"1243","train"
"1244","train"
"1245","train"
"1246","train"
"1247","test"
"1248","test"
"1249","train"
"1250","train"
"1251","test"
"1252","train"
"1253","test"
"1254","train"
"1255","test"
"1256","train"
"1257","test"
"1258","train"
"1259","train"
"1260","train"
"1261","train"
"1262","test"
"1263","test"
"1264","test"
"1265","train"
"1266","test"
"1267","test"
"1268","train"
"1269","test"
"1270","test"
"1271","train"
"1272","train"
"1273","train"
"1274","test"
"1275","train"
"1276","test"
"1277","train"
"1278","train"
"1279","train"
"1280","train"
"1281","train"
"1282","train"
"1283","train"
"1284","test"
"1285","train"
"1286","test"
"1287","train"
"1288","train"
"1289","train"
"1290","train"
"1291","train"
"1292","train"
"1293","train"
"1294","train"
"1295","test"
"1296","test"
"1297","train"
"1298","train"
"1299","train"
"1300","test"
"1301","train"
"1302","train"
"1303","train"
"1304","train"
"1305","train"
"1306","test"
"1307","train"
"1308","train"
"1309","train"
"1310","test"
"1311","test"
"1312","test"
"1313","train"
"1314","test"
"1315","train"
"1316","train"
"1317","test"
"1318","train"
"1319","train"
"1320","test"
"1321","train"
"1322","train"
"1323","train"
"1324","train"
"1325","train"
"1326","train"
"1327","train"
"1328","train"
"1329","train"
"1330","train"
"1331","train"
"1332","test"
"1333","train"
"1334","train"
"1335","train"
"1336","train"
"1337","train"
"1338","train"
"1339","train"
"1340","train"
"1341","train"
"1342","train"
"1343","train"
"1344","train"
"1345","test"
"1346","train"
"1347","test"
"1348","test"
"1349","test"
"1350","train"
"1351","train"
"1352","train"
"1353","test"
"1354","train"
"1355","test"
"1356","train"
"1357","train"
"1358","test"
"1359","train"
"1360","train"
"1361","train"
"1362","train"
"1363","test"
"1364","train"
"1365","train"
"1366","train"
"1367","test"
"1368","train"
"1369","train"
"1370","train"
"1371","test"
"1372","train"
"1373","test"
"1374","train"
"1375","train"
"1376","test"
"1377","train"
"1378","test"
"1379","train"
"1380","train"
"1381","train"
"1382","train"
"1383","test"
"1384","train"
"1385","train"
"1386","train"
"1387","train"
"1388","train"
"1389","train"
"1390","test"
"1391","train"
"1392","train"
"1393","test"
"1394","test"
"1395","train"
"1396","train"
"1397","train"
"1398","train"
"1399","train"
"1400","train"
"1401","train"
"1402","train"
"1403","train"
"1404","train"
"1405","train"
"1406","train"
"1407","train"
"1408","test"
"1409","train"
"1410","test"
"1411","test"
"1412","test"
"1413","train"
"1414","train"
"1415","train"
"1416","train"
"1417","test"
"1418","test"
"1419","train"
"1420","train"
"1421","test"
"1422","train"
"1423","train"
"1424","train"
"1425","train"
"1426","train"
"1427","train"
"1428","train"
"1429","train"
"1430","train"
"1431","test"
"1432","test"
"1433","test"
"1434","train"
"1435","train"
"1436","test"
"1437","train"
"1438","train"
"1439","train"
"1440","train"
"1441","test"
"1442","train"
"1443","train"
"1444","test"
"1445","train"
"1446","test"
"1447","train"
"1448","test"
"1449","train"
"1450","train"
"1451","train"
"1452","train"
"1453","train"
"1454","train"
"1455","train"
"1456","train"
"1457","train"
"1458","test"
"1459","test"
"1460","train"
"1461","train"
"1462","test"
"1463","test"
"1464","train"
"1465","train"
"1466","train"
"1467","test"
"1468","train"
"1469","train"
"1470","test"
"1471","test"
"1472","test"
"1473","test"
"1474","train"
"1475","train"
"1476","test"
"1477","train"
"1478","test"
"1479","train"
"1480","train"
"1481","train"
"1482","train"
"1483","train"
"1484","train"
"1485","train"
"1486","train"
"1487","test"
"1488","train"
"1489","test"
"1490","test"
"1491","test"
"1492","train"
"1493","train"
"1494","train"
"1495","train"
"1496","test"
"1497","train"
"1498","train"
"1499","train"
"1500","train"
"1501","train"
"1502","train"
"1503","train"
"1504","train"
"1505","train"
"1506","train"
"1507","train"
"1508","test"
"1509","test"
"1510","train"
"1511","test"
"1512","test"
"1513","test"
"1514","train"
"1515","train"
"1516","train"
"1517","test"
"1518","train"
"1519","train"
"1520","train"
"1521","train"
"1522","test"
"1523","train"
"1524","train"
"1525","train"
"1526","train"
"1527","train"
"1528","train"
"1529","train"
"1530","train"
"1531","test"
"1532","test"
"1533","test"
"1534","train"
"1535","test"
"1536","train"
"1537","train"
"1538","train"
"1539","test"
"1540","test"
"1541","test"
"1542","train"
"1543","test"
"1544","train"
"1545","test"
"1546","train"
"1547","test"
"1548","train"
"1549","test"
"1550","train"
"1551","train"
"1552","train"
"1553","test"
"1554","test"
"1555","test"
"1556","train"
"1557","train"
"1558","train"
"1559","train"
"1560","train"
"1561","train"
"1562","train"
"1563","train"
"1564","train"
"1565","train"
"1566","test"
"1567","test"
"1568","train"
"1569","train"
"1570","test"
"1571","train"
"1572","test"
"1573","train"
"1574","train"
"1575","train"
"1576","test"
"1577","train"
"1578","train"
"1579","train"
"1580","train"
"1581","test"
"1582","train"
"1583","test"
"1584","train"
"1585","train"
"1586","train"
"1587","train"
"1588","test"
"1589","test"
"1590","train"
"1591","test"
"1592","test"
"1593","train"
"1594","train"
"1595","test"
"1596","train"
"1597","train"
"1598","train"
"1599","train"
"1600","train"
"1601","train"
"1602","test"
"1603","train"
"1604","train"
"1605","test"
"1606","test"
"1607","test"
"1608","test"
"1609","train"
"1610","test"
"1611","train"
"1612","train"
"1613","test"
"1614","train"
"1615","train"
"1616","train"
"1617","test"
"1618","train"
"1619","train"
"1620","test"
"1621","train"
"1622","train"
"1623","train"
"1624","test"
"1625","train"
"1626","train"
"1627","test"
"1628","train"
"1629","train"
"1630","train"
"1631","train"
"1632","train"
"1633","test"
"1634","test"
"1635","train"
"1636","train"
"1637","train"
"1638","train"
"1639","train"
"1640","train"
"1641","train"
"1642","train"
"1643","train"
"1644","test"
"1645","train"
"1646","train"
"1647","train"
"1648","train"
"1649","train"
"1650","train"
"1651","train"
"1652","train"
"1653","train"
"1654","train"
"1655","train"
"1656","train"
"1657","test"
"1658","train"
"1659","train"
"1660","train"
"1661","train"
"1662","test"
"1663","test"
"1664","test"
"1665","train"
"1666","train"
"1667","train"
"1668","train"
"1669","train"
"1670","train"
"1671","test"
"1672","train"
"1673","train"
"1674","train"
"1675","test"
"1676","train"
"1677","test"
"1678","train"
"1679","train"
"1680","train"
"1681","test"
"1682","train"
"1683","train"
"1684","train"
"1685","test"
"1686","train"
"1687","train"
"1688","train"
"1689","train"
"1690","train"
"1691","test"
"1692","test"
"1693","train"
"1694","train"
"1695","test"
"1696","train"
"1697","test"
"1698","train"
"1699","train"
"1700","test"
"1701","train"
"1702","train"
"1703","train"
"1704","train"
"1705","train"
"1706","train"
"1707","train"
"1708","train"
"1709","test"
"1710","train"
"1711","train"
"1712","train"
"1713","train"
"1714","test"
"1715","test"
"1716","test"
"1717","train"
"1718","train"
"1719","train"
"1720","train"
"1721","train"
"1722","train"
"1723","train"
"1724","test"
"1725","train"
"1726","train"
"1727","train"
"1728","test"
"1729","train"
"1730","train"
"1731","train"
"1732","test"
"1733","test"
"1734","train"
"1735","train"
"1736","test"
"1737","train"
"1738","train"
"1739","train"
"1740","test"
"1741","train"
"1742","test"
"1743","test"
"1744","test"
"1745","train"
"1746","test"
"1747","train"
"1748","train"
"1749","test"
"1750","test"
"1751","train"
"1752","train"
"1753","train"
"1754","train"
"1755","train"
"1756","test"
"1757","test"
"1758","train"
"1759","test"
"1760","test"
"1761","train"
"1762","train"
"1763","train"
"1764","train"
"1765","train"
"1766","train"
"1767","test"
"1768","train"
"1769","train"
"1770","train"
"1771","test"
"1772","train"
"1773","test"
"1774","train"
"1775","train"
"1776","test"
"1777","test"
"1778","test"
"1779","test"
"1780","train"
"1781","train"
"1782","test"
"1783","train"
"1784","train"
"1785","train"
"1786","test"
"1787","train"
"1788","train"
"1789","train"
"1790","train"
"1791","train"
"1792","test"
"1793","train"
"1794","train"
"1795","train"
"1796","train"
"1797","test"
"1798","train"
"1799","train"
"1800","test"
"1801","train"
"1802","train"
"1803","train"
"1804","train"
"1805","test"
"1806","train"
"1807","train"
"1808","test"
"1809","train"
"1810","train"
"1811","test"
"1812","train"
"1813","test"
"1814","test"
"1815","train"
"1816","train"
"1817","test"
"1818","train"
"1819","test"
"1820","train"
"1821","test"
"1822","test"
"1823","train"
"1824","train"
"1825","test"
"1826","train"
"1827","train"
"1828","test"
"1829","train"
"1830","train"
"1831","train"
"1832","train"
"1833","train"
"1834","train"
"1835","train"
"1836","train"
"1837","test"
"1838","train"
"1839","train"
"1840","train"
"1841","train"
"1842","train"
"1843","train"
"1844","train"
"1845","train"
"1846","train"
"1847","test"
"1848","test"
"1849","test"
"1850","test"
"1851","train"
"1852","train"
"1853","train"
"1854","train"
"1855","train"
"1856","train"
"1857","train"
"1858","train"
"1859","train"
"1860","train"
"1861","train"
"1862","train"
"1863","test"
"1864","train"
"1865","train"
"1866","train"
"1867","train"
"1868","test"
"1869","train"
"1870","train"
"1871","train"
"1872","train"
"1873","train"
"1874","train"
"1875","test"
"1876","test"
"1877","train"
"1878","train"
"1879","train"
"1880","train"
"1881","train"
"1882","train"
"1883","test"
"1884","test"
"1885","test"
"1886","train"
"1887","train"
"1888","train"
"1889","test"
"1890","test"
"1891","test"
"1892","train"
"1893","train"
"1894","train"
"1895","train"
"1896","train"
"1897","train"
"1898","train"
"1899","train"
"1900","train"
"1901","train"
"1902","train"
"1903","train"
"1904","test"
"1905","train"
"1906","train"
"1907","test"
"1908","test"
"1909","train"
"1910","train"
"1911","train"
"1912","train"
"1913","train"
"1914","train"
"1915","train"
"1916","train"
"1917","train"
"1918","test"
"1919","train"
"1920","train"
"1921","train"
"1922","test"
"1923","test"
"1924","train"
"1925","train"
"1926","train"
"1927","train"
"1928","train"
"1929","test"
"1930","train"
"1931","train"
"1932","train"
"1933","train"
"1934","test"
"1935","train"
"1936","train"
"1937","train"
"1938","test"
"1939","train"
"1940","train"
"1941","test"
"1942","test"
"1943","train"
"1944","train"
"1945","train"
"1946","train"
"1947","train"
"1948","test"
"1949","train"
"1950","train"
"1951","train"
"1952","train"
"1953","test"
"1954","train"
"1955","train"
"1956","train"
"1957","test"
"1958","test"
"1959","test"
"1960","train"
"1961","train"
"1962","train"
"1963","test"
"1964","train"
"1965","train"
"1966","train"
"1967","test"
"1968","train"
"1969","train"
"1970","train"
"1971","train"
"1972","train"
"1973","test"
"1974","train"
"1975","train"
"1976","test"
"1977","train"
"1978","test"
"1979","train"
"1980","train"
"1981","test"
"1982","train"
"1983","test"
"1984","train"
"1985","train"
"1986","train"
"1987","train"
"1988","train"
"1989","train"
"1990","test"
"1991","train"
"1992","train"
"1993","test"
"1994","train"
"1995","train"
"1996","train"
"1997","train"
"1998","train"
"1999","train"
"2000","train"
"2001","test"
"2002","test"
"2003","test"
"2004","test"
"2005","train"
"2006","test"
"2007","train"
"2008","train"
"2009","train"
"2010","train"
"2011","train"
"2012","train"
"2013","train"
"2014","test"
"2015","train"
"2016","train"
"2017","train"
"2018","test"
"2019","train"
"2020","train"
"2021","train"
"2022","test"
"2023","train"
"2024","train"
"2025","train"
"2026","train"
"2027","train"
"2028","train"
"2029","train"
"2030","train"
"2031","train"
"2032","test"
"2033","train"
"2034","train"
"2035","train"
"2036","train"
"2037","train"
"2038","train"
"2039","test"
"2040","test"
"2041","train"
"2042","train"
"2043","train"
"2044","test"
"2045","train"
"2046","train"
"2047","train"
"2048","train"
"2049","train"
"2050","train"
"2051","train"
"2052","train"
"2053","test"
"2054","train"
"2055","train"
"2056","train"
"2057","train"
"2058","train"
"2059","train"
"2060","train"
"2061","train"
"2062","train"
"2063","train"
"2064","train"
"2065","train"
"2066","train"
"2067","test"
"2068","test"
"2069","train"
"2070","train"
"2071","train"
"2072","train"
"2073","train"
"2074","train"
"2075","train"
"2076","train"
"2077","train"
"2078","test"
"2079","train"
"2080","test"
"2081","train"
"2082","test"
"2083","train"
"2084","test"
"2085","train"
"2086","train"
"2087","test"
"2088","train"
"2089","test"
"2090","train"
"2091","train"
"2092","train"
"2093","test"
"2094","test"
"2095","train"
"2096","train"
"2097","train"
"2098","train"
"2099","train"
"2100","test"
"2101","train"
"2102","train"
"2103","train"
"2104","train"
"2105","test"
"2106","test"
"2107","train"
"2108","train"
"2109","train"
"2110","train"
"2111","test"
"2112","train"
"2113","train"
"2114","train"
"2115","train"
"2116","train"
"2117","train"
"2118","train"
"2119","train"
"2120","train"
"2121","train"
"2122","train"
"2123","train"
"2124","train"
"2125","train"
"2126","train"
"2127","train"
"2128","train"
"2129","train"
"2130","train"
"2131","train"
"2132","train"
"2133","train"
"2134","train"
"2135","test"
"2136","train"
"2137","test"
"2138","test"
"2139","train"
"2140","train"
"2141","train"
